(2020-12-01 20:40:44,707) [START] Task-0_M3 Started Execution
(2020-12-01 23:53:43,997) [FINISH] TASK 64_M1 Finished execution. Total duration - 3002.138
(2020-12-01 23:53:44,742) [FINISH] TASK 63_M0 Finished execution. Total duration - 4004.402
(2020-12-01 23:53:44,753) [START] Task-63_R0 Started Execution
(2020-12-01 23:53:44,924) [FINISH] TASK 65_M0 Finished execution. Total duration - 3002.613
(2020-12-01 23:53:45,892) [START] Task-68_M0 Started Execution
(2020-12-01 23:53:45,893) [START] Task-68_M2 Started Execution
(2020-12-01 23:53:45,935) [START] Task-65_R1 Started Execution
(2020-12-01 23:53:46,494) [FINISH] TASK 61_R0 Finished execution. Total duration - 4003.926
(2020-12-01 23:53:46,495) [START] Task-69_M2 Started Execution
(2020-12-01 23:53:47,756) [FINISH] TASK 63_R0 Finished execution. Total duration - 3002.638
(2020-12-01 23:53:47,757) [START] Task-71_M1 Started Execution
(2020-12-01 23:53:47,895) [FINISH] TASK 68_M0 Finished execution. Total duration - 2002.226
(2020-12-01 23:53:47,896) [START] Task-71_M2 Started Execution
(2020-12-01 23:53:47,937) [FINISH] TASK 65_R1 Finished execution. Total duration - 2001.708
(2020-12-01 23:53:47,938) [START] Task-71_M3 Started Execution
(2020-12-01 23:53:48,896) [FINISH] TASK 68_M2 Finished execution. Total duration - 3002.649
(2020-12-01 23:53:49,759) [FINISH] TASK 71_M1 Finished execution. Total duration - 2002.289
(2020-12-01 23:53:49,907) [START] Task-68_R0 Started Execution
(2020-12-01 23:53:49,940) [FINISH] TASK 71_M3 Finished execution. Total duration - 2001.688
(2020-12-01 23:53:50,498) [FINISH] TASK 69_M2 Finished execution. Total duration - 4002.776
(2020-12-01 23:53:50,899) [FINISH] TASK 71_M2 Finished execution. Total duration - 3003.419
(2020-12-01 23:53:50,910) [START] Task-71_R0 Started Execution
(2020-12-01 23:53:51,565) [START] Task-74_M0 Started Execution
(2020-12-01 23:53:51,567) [START] Task-74_M3 Started Execution
(2020-12-01 23:53:51,909) [FINISH] TASK 68_R0 Finished execution. Total duration - 2002.044
(2020-12-01 23:53:52,172) [START] Task-75_M1 Started Execution
(2020-12-01 23:53:52,944) [START] Task-76_M2 Started Execution
(2020-12-01 23:53:53,568) [FINISH] TASK 74_M0 Finished execution. Total duration - 2002.287
(2020-12-01 23:53:53,568) [FINISH] TASK 74_M3 Finished execution. Total duration - 2001.353
(2020-12-01 23:53:53,913) [FINISH] TASK 71_R0 Finished execution. Total duration - 3002.956
(2020-12-01 23:53:54,946) [FINISH] TASK 76_M2 Finished execution. Total duration - 2001.534
(2020-12-01 23:53:55,138) [START] Task-77_M1 Started Execution
(2020-12-01 23:53:55,166) [START] Task-73_R0 Started Execution
(2020-12-01 23:53:55,175) [FINISH] TASK 75_M1 Finished execution. Total duration - 3002.969
(2020-12-01 23:53:55,582) [START] Task-74_R1 Started Execution
(2020-12-01 23:53:56,583) [FINISH] TASK 74_R1 Finished execution. Total duration - 1000.934
(2020-12-01 23:53:56,825) [START] Task-78_M1 Started Execution
(2020-12-01 23:53:56,865) [START] Task-79_M0 Started Execution
(2020-12-01 23:53:57,038) [START] Task-80_M1 Started Execution
(2020-12-01 23:53:57,140) [FINISH] TASK 77_M1 Finished execution. Total duration - 2002.156
(2020-12-01 23:53:57,168) [FINISH] TASK 73_R0 Finished execution. Total duration - 2001.521
(2020-12-01 23:53:57,865) [START] Task-81_M1 Started Execution
(2020-12-01 23:53:57,866) [START] Task-81_M3 Started Execution
(2020-12-01 23:53:58,867) [FINISH] TASK 79_M0 Finished execution. Total duration - 2002.063
(2020-12-01 23:53:58,868) [FINISH] TASK 81_M3 Finished execution. Total duration - 1000.970
(2020-12-01 23:53:59,149) [START] Task-77_R0 Started Execution
(2020-12-01 23:53:59,600) [START] Task-82_M2 Started Execution
(2020-12-01 23:54:00,829) [FINISH] TASK 78_M1 Finished execution. Total duration - 4003.861
(2020-12-01 23:54:00,840) [START] Task-78_R0 Started Execution
(2020-12-01 23:54:01,042) [FINISH] TASK 80_M1 Finished execution. Total duration - 4003.187
(2020-12-01 23:54:01,053) [START] Task-80_R1 Started Execution
(2020-12-01 23:54:01,151) [FINISH] TASK 77_R0 Finished execution. Total duration - 2002.051
(2020-12-01 23:54:01,602) [FINISH] TASK 82_M2 Finished execution. Total duration - 2002.260
(2020-12-01 23:54:01,869) [FINISH] TASK 81_M1 Finished execution. Total duration - 4003.352
(2020-12-01 23:54:02,460) [START] Task-84_M0 Started Execution
(2020-12-01 23:54:02,842) [FINISH] TASK 78_R0 Finished execution. Total duration - 2002.276
(2020-12-01 23:54:03,237) [START] Task-85_M1 Started Execution
(2020-12-01 23:54:03,641) [START] Task-82_R0 Started Execution
(2020-12-01 23:54:03,984) [START] Task-86_M0 Started Execution
(2020-12-01 23:54:05,058) [FINISH] TASK 80_R1 Finished execution. Total duration - 4004.410
(2020-12-01 23:54:05,059) [START] Task-88_M3 Started Execution
(2020-12-01 23:54:05,239) [FINISH] TASK 85_M1 Finished execution. Total duration - 2001.596
(2020-12-01 23:54:05,464) [FINISH] TASK 84_M0 Finished execution. Total duration - 3003.313
(2020-12-01 23:54:06,477) [START] Task-89_M2 Started Execution
(2020-12-01 23:54:06,477) [START] Task-84_R0 Started Execution
(2020-12-01 23:54:06,987) [FINISH] TASK 86_M0 Finished execution. Total duration - 3003.272
(2020-12-01 23:54:06,992) [START] Task-90_M2 Started Execution
(2020-12-01 23:54:07,061) [FINISH] TASK 88_M3 Finished execution. Total duration - 2001.705
(2020-12-01 23:54:07,067) [START] Task-90_M3 Started Execution
(2020-12-01 23:54:07,478) [FINISH] TASK 89_M2 Finished execution. Total duration - 1000.551
(2020-12-01 23:54:07,479) [START] Task-91_M1 Started Execution
(2020-12-01 23:54:07,479) [FINISH] TASK 84_R0 Finished execution. Total duration - 1001.666
(2020-12-01 23:54:07,480) [START] Task-88_R0 Started Execution
(2020-12-01 23:54:07,644) [FINISH] TASK 82_R0 Finished execution. Total duration - 4003.210
(2020-12-01 23:54:07,645) [START] Task-88_R1 Started Execution
(2020-12-01 23:54:07,994) [FINISH] TASK 90_M2 Finished execution. Total duration - 1001.191
(2020-12-01 23:54:07,994) [START] Task-92_M1 Started Execution
(2020-12-01 23:54:08,646) [FINISH] TASK 88_R1 Finished execution. Total duration - 1001.205
(2020-12-01 23:54:08,647) [START] Task-87_R0 Started Execution
(2020-12-01 23:54:09,069) [FINISH] TASK 90_M3 Finished execution. Total duration - 2002.194
(2020-12-01 23:54:09,070) [START] Task-89_R0 Started Execution
(2020-12-01 23:54:09,484) [FINISH] TASK 88_R0 Finished execution. Total duration - 2002.990
(2020-12-01 23:54:09,491) [START] Task-94_M1 Started Execution
(2020-12-01 23:54:09,649) [FINISH] TASK 87_R0 Finished execution. Total duration - 1000.654
(2020-12-01 23:54:09,650) [START] Task-93_R0 Started Execution
(2020-12-01 23:54:09,996) [FINISH] TASK 92_M1 Finished execution. Total duration - 2001.345
(2020-12-01 23:54:09,997) [START] Task-95_M0 Started Execution
(2020-12-01 23:54:11,072) [FINISH] TASK 89_R0 Finished execution. Total duration - 2001.714
(2020-12-01 23:54:11,073) [START] Task-96_M1 Started Execution
(2020-12-01 23:54:11,484) [FINISH] TASK 91_M1 Finished execution. Total duration - 4004.219
(2020-12-01 23:54:11,485) [START] Task-90_R0 Started Execution
(2020-12-01 23:54:11,493) [FINISH] TASK 94_M1 Finished execution. Total duration - 2001.359
(2020-12-01 23:54:11,510) [START] Task-94_R0 Started Execution
(2020-12-01 23:54:12,652) [FINISH] TASK 93_R0 Finished execution. Total duration - 3001.824
(2020-12-01 23:54:13,301) [START] Task-98_M0 Started Execution
(2020-12-01 23:54:14,001) [FINISH] TASK 95_M0 Finished execution. Total duration - 4004.221
(2020-12-01 23:54:14,012) [START] Task-95_R0 Started Execution
(2020-12-01 23:54:14,076) [FINISH] TASK 96_M1 Finished execution. Total duration - 3002.697
(2020-12-01 23:54:14,488) [FINISH] TASK 90_R0 Finished execution. Total duration - 3003.089
(2020-12-01 23:54:14,513) [FINISH] TASK 94_R0 Finished execution. Total duration - 3002.426
(2020-12-01 23:54:14,804) [START] Task-97_R1 Started Execution
(2020-12-01 23:54:15,014) [FINISH] TASK 95_R0 Finished execution. Total duration - 1001.305
(2020-12-01 23:54:15,303) [FINISH] TASK 98_M0 Finished execution. Total duration - 2001.925
(2020-12-01 23:54:16,536) [START] Task-100_M0 Started Execution
(2020-12-01 23:54:16,806) [FINISH] TASK 97_R1 Finished execution. Total duration - 2002.183
(2020-12-01 23:54:16,899) [START] Task-101_M0 Started Execution
(2020-12-01 23:54:17,677) [START] Task-102_M0 Started Execution
(2020-12-01 23:54:19,091) [START] Task-103_M0 Started Execution
(2020-12-01 23:54:19,092) [START] Task-103_M3 Started Execution
(2020-12-01 23:54:19,680) [FINISH] TASK 102_M0 Finished execution. Total duration - 2002.109
(2020-12-01 23:54:20,541) [FINISH] TASK 100_M0 Finished execution. Total duration - 4004.359
(2020-12-01 23:54:20,552) [START] Task-100_R0 Started Execution
(2020-12-01 23:54:20,902) [FINISH] TASK 101_M0 Finished execution. Total duration - 4002.559
(2020-12-01 23:54:21,232) [START] Task-105_M0 Started Execution
(2020-12-01 23:54:22,094) [FINISH] TASK 103_M0 Finished execution. Total duration - 3002.275
(2020-12-01 23:54:22,555) [FINISH] TASK 100_R0 Finished execution. Total duration - 2002.652
(2020-12-01 23:54:22,647) [START] Task-107_M0 Started Execution
(2020-12-01 23:54:23,096) [FINISH] TASK 103_M3 Finished execution. Total duration - 4003.576
(2020-12-01 23:54:23,127) [START] Task-103_R0 Started Execution
(2020-12-01 23:54:23,232) [FINISH] TASK 105_M0 Finished execution. Total duration - 2000.239
(2020-12-01 23:54:23,236) [START] Task-105_R0 Started Execution
(2020-12-01 23:54:23,648) [FINISH] TASK 107_M0 Finished execution. Total duration - 1000.401
(2020-12-01 23:54:25,430) [START] Task-109_M0 Started Execution
(2020-12-01 23:54:25,660) [START] Task-107_R1 Started Execution
(2020-12-01 23:54:25,779) [START] Task-110_M1 Started Execution
(2020-12-01 23:54:26,239) [FINISH] TASK 105_R0 Finished execution. Total duration - 3003.330
(2020-12-01 23:54:26,870) [START] Task-111_M1 Started Execution
(2020-12-01 23:54:27,132) [FINISH] TASK 103_R0 Finished execution. Total duration - 4004.226
(2020-12-01 23:54:27,153) [START] Task-113_M0 Started Execution
(2020-12-01 23:54:27,662) [FINISH] TASK 107_R1 Finished execution. Total duration - 2001.768
(2020-12-01 23:54:28,225) [START] Task-114_M1 Started Execution
(2020-12-01 23:54:28,872) [FINISH] TASK 111_M1 Finished execution. Total duration - 2001.675
(2020-12-01 23:54:29,366) [START] Task-116_M0 Started Execution
(2020-12-01 23:54:29,434) [FINISH] TASK 109_M0 Finished execution. Total duration - 4004.274
(2020-12-01 23:54:29,445) [START] Task-109_R0 Started Execution
(2020-12-01 23:54:29,784) [FINISH] TASK 110_M1 Finished execution. Total duration - 4004.487
(2020-12-01 23:54:29,785) [START] Task-117_M1 Started Execution
(2020-12-01 23:54:31,158) [FINISH] TASK 113_M0 Finished execution. Total duration - 4004.096
(2020-12-01 23:54:31,160) [START] Task-112_R1 Started Execution
(2020-12-01 23:54:32,229) [FINISH] TASK 114_M1 Finished execution. Total duration - 4004.149
(2020-12-01 23:54:32,230) [START] Task-118_M2 Started Execution
(2020-12-01 23:54:32,369) [FINISH] TASK 116_M0 Finished execution. Total duration - 3002.584
(2020-12-01 23:54:32,370) [START] Task-118_M3 Started Execution
(2020-12-01 23:54:32,788) [FINISH] TASK 117_M1 Finished execution. Total duration - 3002.400
(2020-12-01 23:54:32,789) [START] Task-116_R0 Started Execution
(2020-12-01 23:54:33,163) [FINISH] TASK 112_R1 Finished execution. Total duration - 2002.297
(2020-12-01 23:54:33,449) [FINISH] TASK 109_R0 Finished execution. Total duration - 4003.989
(2020-12-01 23:54:33,887) [START] Task-117_R0 Started Execution
(2020-12-01 23:54:34,791) [FINISH] TASK 116_R0 Finished execution. Total duration - 2002.240
(2020-12-01 23:54:35,232) [FINISH] TASK 118_M2 Finished execution. Total duration - 3001.517
(2020-12-01 23:54:35,372) [FINISH] TASK 118_M3 Finished execution. Total duration - 3002.033
(2020-12-01 23:54:35,383) [START] Task-118_R0 Started Execution
(2020-12-01 23:54:35,495) [START] Task-120_M0 Started Execution
(2020-12-01 23:54:35,889) [FINISH] TASK 117_R0 Finished execution. Total duration - 2001.832
(2020-12-01 23:54:37,768) [START] Task-121_M1 Started Execution
(2020-12-01 23:54:37,809) [START] Task-122_M2 Started Execution
(2020-12-01 23:54:38,383) [START] Task-123_M0 Started Execution
(2020-12-01 23:54:39,384) [FINISH] TASK 123_M0 Finished execution. Total duration - 1000.509
(2020-12-01 23:54:39,385) [START] Task-125_M3 Started Execution
(2020-12-01 23:54:39,387) [FINISH] TASK 118_R0 Finished execution. Total duration - 4003.650
(2020-12-01 23:54:39,388) [START] Task-126_M0 Started Execution
(2020-12-01 23:54:39,499) [FINISH] TASK 120_M0 Finished execution. Total duration - 4004.057
(2020-12-01 23:54:39,500) [START] Task-126_M1 Started Execution
(2020-12-01 23:54:39,770) [FINISH] TASK 121_M1 Finished execution. Total duration - 2002.232
(2020-12-01 23:54:39,771) [START] Task-126_M3 Started Execution
(2020-12-01 23:54:39,812) [FINISH] TASK 122_M2 Finished execution. Total duration - 2002.204
(2020-12-01 23:54:39,813) [START] Task-121_R0 Started Execution
(2020-12-01 23:54:41,390) [FINISH] TASK 126_M0 Finished execution. Total duration - 2002.176
(2020-12-01 23:54:41,394) [START] Task-123_R0 Started Execution
(2020-12-01 23:54:41,502) [FINISH] TASK 126_M1 Finished execution. Total duration - 2001.906
(2020-12-01 23:54:41,773) [FINISH] TASK 126_M3 Finished execution. Total duration - 2001.557
(2020-12-01 23:54:42,121) [START] Task-127_R0 Started Execution
(2020-12-01 23:54:42,815) [FINISH] TASK 121_R0 Finished execution. Total duration - 3002.606
(2020-12-01 23:54:43,033) [START] Task-130_M1 Started Execution
(2020-12-01 23:54:43,180) [START] Task-131_M0 Started Execution
(2020-12-01 23:54:43,388) [FINISH] TASK 125_M3 Finished execution. Total duration - 4002.931
(2020-12-01 23:54:43,399) [START] Task-125_R0 Started Execution
(2020-12-01 23:54:44,396) [FINISH] TASK 123_R0 Finished execution. Total duration - 3002.251
(2020-12-01 23:54:44,397) [START] Task-128_R0 Started Execution
(2020-12-01 23:54:45,035) [FINISH] TASK 130_M1 Finished execution. Total duration - 2001.694
(2020-12-01 23:54:45,036) [START] Task-135_M0 Started Execution
(2020-12-01 23:54:45,124) [FINISH] TASK 127_R0 Finished execution. Total duration - 3002.442
(2020-12-01 23:54:45,125) [START] Task-136_M0 Started Execution
(2020-12-01 23:54:46,126) [FINISH] TASK 136_M0 Finished execution. Total duration - 1001.210
(2020-12-01 23:54:46,127) [START] Task-130_R0 Started Execution
(2020-12-01 23:54:46,399) [FINISH] TASK 128_R0 Finished execution. Total duration - 2002.224
(2020-12-01 23:54:46,403) [FINISH] TASK 125_R0 Finished execution. Total duration - 3003.125
(2020-12-01 23:54:46,985) [START] Task-138_M1 Started Execution
(2020-12-01 23:54:46,986) [START] Task-138_M2 Started Execution
(2020-12-01 23:54:47,184) [FINISH] TASK 131_M0 Finished execution. Total duration - 4003.497
(2020-12-01 23:54:47,195) [START] Task-131_R0 Started Execution
(2020-12-01 23:54:48,039) [FINISH] TASK 135_M0 Finished execution. Total duration - 3002.863
(2020-12-01 23:54:48,045) [START] Task-135_R0 Started Execution
(2020-12-01 23:54:48,129) [FINISH] TASK 130_R0 Finished execution. Total duration - 2001.696
(2020-12-01 23:54:48,987) [FINISH] TASK 138_M1 Finished execution. Total duration - 2001.281
(2020-12-01 23:54:49,809) [START] Task-136_R0 Started Execution
(2020-12-01 23:54:50,047) [FINISH] TASK 135_R0 Finished execution. Total duration - 2002.212
(2020-12-01 23:54:50,990) [FINISH] TASK 138_M2 Finished execution. Total duration - 4003.745
(2020-12-01 23:54:51,001) [START] Task-138_R0 Started Execution
(2020-12-01 23:54:51,199) [FINISH] TASK 131_R0 Finished execution. Total duration - 4004.384
(2020-12-01 23:54:52,579) [START] Task-141_M0 Started Execution
(2020-12-01 23:54:52,730) [START] Task-142_M0 Started Execution
(2020-12-01 23:54:52,731) [START] Task-142_M2 Started Execution
(2020-12-01 23:54:53,812) [FINISH] TASK 136_R0 Finished execution. Total duration - 4002.720
(2020-12-01 23:54:53,818) [START] Task-139_R0 Started Execution
(2020-12-01 23:54:54,004) [FINISH] TASK 138_R0 Finished execution. Total duration - 3003.363
(2020-12-01 23:54:54,005) [START] Task-145_M0 Started Execution
(2020-12-01 23:54:54,580) [FINISH] TASK 141_M0 Finished execution. Total duration - 2001.052
(2020-12-01 23:54:54,678) [START] Task-146_M0 Started Execution
(2020-12-01 23:54:55,734) [FINISH] TASK 142_M2 Finished execution. Total duration - 3002.848
(2020-12-01 23:54:56,680) [FINISH] TASK 146_M0 Finished execution. Total duration - 2002.013
(2020-12-01 23:54:56,734) [FINISH] TASK 142_M0 Finished execution. Total duration - 4003.572
(2020-12-01 23:54:56,739) [START] Task-148_R0 Started Execution
(2020-12-01 23:54:56,821) [FINISH] TASK 139_R0 Finished execution. Total duration - 3002.887
(2020-12-01 23:54:56,823) [START] Task-149_M0 Started Execution
(2020-12-01 23:54:56,824) [START] Task-149_M1 Started Execution
(2020-12-01 23:54:56,824) [START] Task-149_M2 Started Execution
(2020-12-01 23:54:58,008) [FINISH] TASK 145_M0 Finished execution. Total duration - 4002.572
(2020-12-01 23:54:58,008) [START] Task-144_R0 Started Execution
(2020-12-01 23:54:58,741) [FINISH] TASK 148_R0 Finished execution. Total duration - 2001.810
(2020-12-01 23:54:58,742) [START] Task-145_R0 Started Execution
(2020-12-01 23:54:58,825) [FINISH] TASK 149_M0 Finished execution. Total duration - 2001.708
(2020-12-01 23:54:58,826) [START] Task-145_R1 Started Execution
(2020-12-01 23:54:58,826) [FINISH] TASK 149_M2 Finished execution. Total duration - 2002.019
(2020-12-01 23:54:58,827) [START] Task-153_M0 Started Execution
(2020-12-01 23:54:59,827) [FINISH] TASK 149_M1 Finished execution. Total duration - 3003.264
(2020-12-01 23:54:59,831) [START] Task-147_R0 Started Execution
(2020-12-01 23:55:00,743) [FINISH] TASK 145_R0 Finished execution. Total duration - 2001.247
(2020-12-01 23:55:00,828) [FINISH] TASK 145_R1 Finished execution. Total duration - 2002.058
(2020-12-01 23:55:00,832) [FINISH] TASK 147_R0 Finished execution. Total duration - 1001.172
(2020-12-01 23:55:00,908) [START] Task-154_M1 Started Execution
(2020-12-01 23:55:01,012) [FINISH] TASK 144_R0 Finished execution. Total duration - 3003.307
(2020-12-01 23:55:01,758) [START] Task-149_R1 Started Execution
(2020-12-01 23:55:02,831) [FINISH] TASK 153_M0 Finished execution. Total duration - 4004.404
(2020-12-01 23:55:02,843) [START] Task-153_R1 Started Execution
(2020-12-01 23:55:03,764) [START] Task-155_M2 Started Execution
(2020-12-01 23:55:04,168) [START] Task-156_M2 Started Execution
(2020-12-01 23:55:04,913) [FINISH] TASK 154_M1 Finished execution. Total duration - 4004.292
(2020-12-01 23:55:04,918) [START] Task-159_M2 Started Execution
(2020-12-01 23:55:05,762) [FINISH] TASK 149_R1 Finished execution. Total duration - 4003.803
(2020-12-01 23:55:05,764) [START] Task-154_R1 Started Execution
(2020-12-01 23:55:05,847) [FINISH] TASK 153_R1 Finished execution. Total duration - 3003.298
(2020-12-01 23:55:06,170) [FINISH] TASK 156_M2 Finished execution. Total duration - 2002.224
(2020-12-01 23:55:07,218) [START] Task-160_M2 Started Execution
(2020-12-01 23:55:07,271) [START] Task-158_R0 Started Execution
(2020-12-01 23:55:07,768) [FINISH] TASK 155_M2 Finished execution. Total duration - 4004.080
(2020-12-01 23:55:07,769) [START] Task-161_M3 Started Execution
(2020-12-01 23:55:07,922) [FINISH] TASK 159_M2 Finished execution. Total duration - 3003.338
(2020-12-01 23:55:07,926) [START] Task-155_R0 Started Execution
(2020-12-01 23:55:08,218) [FINISH] TASK 160_M2 Finished execution. Total duration - 1000.281
(2020-12-01 23:55:08,767) [FINISH] TASK 154_R1 Finished execution. Total duration - 3003.297
(2020-12-01 23:55:09,074) [START] Task-162_M1 Started Execution
(2020-12-01 23:55:09,272) [FINISH] TASK 158_R0 Finished execution. Total duration - 2001.222
(2020-12-01 23:55:09,772) [FINISH] TASK 161_M3 Finished execution. Total duration - 2002.269
(2020-12-01 23:55:09,932) [START] Task-163_M0 Started Execution
(2020-12-01 23:55:09,933) [START] Task-163_M2 Started Execution
(2020-12-01 23:55:10,076) [FINISH] TASK 162_M1 Finished execution. Total duration - 1001.649
(2020-12-01 23:55:10,417) [START] Task-165_M0 Started Execution
(2020-12-01 23:55:10,929) [FINISH] TASK 155_R0 Finished execution. Total duration - 3003.127
(2020-12-01 23:55:11,232) [START] Task-160_R1 Started Execution
(2020-12-01 23:55:11,589) [START] Task-161_R0 Started Execution
(2020-12-01 23:55:11,933) [FINISH] TASK 163_M0 Finished execution. Total duration - 2001.299
(2020-12-01 23:55:11,936) [FINISH] TASK 163_M2 Finished execution. Total duration - 2002.213
(2020-12-01 23:55:11,996) [START] Task-163_R1 Started Execution
(2020-12-01 23:55:12,083) [START] Task-162_R1 Started Execution
(2020-12-01 23:55:12,420) [FINISH] TASK 165_M0 Finished execution. Total duration - 2002.287
(2020-12-01 23:55:12,431) [START] Task-165_R1 Started Execution
(2020-12-01 23:55:12,997) [FINISH] TASK 163_R1 Finished execution. Total duration - 1001.154
(2020-12-01 23:55:13,001) [START] Task-168_M1 Started Execution
(2020-12-01 23:55:13,234) [FINISH] TASK 160_R1 Finished execution. Total duration - 2001.464
(2020-12-01 23:55:13,236) [START] Task-166_R1 Started Execution
(2020-12-01 23:55:13,432) [FINISH] TASK 165_R1 Finished execution. Total duration - 1000.570
(2020-12-01 23:55:13,455) [START] Task-169_M0 Started Execution
(2020-12-01 23:55:14,456) [FINISH] TASK 169_M0 Finished execution. Total duration - 1000.906
(2020-12-01 23:55:14,457) [START] Task-169_M2 Started Execution
(2020-12-01 23:55:15,458) [FINISH] TASK 169_M2 Finished execution. Total duration - 1001.379
(2020-12-01 23:55:15,460) [START] Task-170_M2 Started Execution
(2020-12-01 23:55:15,593) [FINISH] TASK 161_R0 Finished execution. Total duration - 4004.097
(2020-12-01 23:55:15,595) [START] Task-170_M3 Started Execution
(2020-12-01 23:55:16,087) [FINISH] TASK 162_R1 Finished execution. Total duration - 4003.111
(2020-12-01 23:55:16,089) [START] Task-167_R1 Started Execution
(2020-12-01 23:55:16,239) [FINISH] TASK 166_R1 Finished execution. Total duration - 3003.037
(2020-12-01 23:55:16,246) [START] Task-171_M1 Started Execution
(2020-12-01 23:55:16,596) [FINISH] TASK 170_M3 Finished execution. Total duration - 1000.724
(2020-12-01 23:55:16,597) [START] Task-173_M0 Started Execution
(2020-12-01 23:55:17,005) [FINISH] TASK 168_M1 Finished execution. Total duration - 4003.612
(2020-12-01 23:55:17,009) [START] Task-173_M3 Started Execution
(2020-12-01 23:55:17,248) [FINISH] TASK 171_M1 Finished execution. Total duration - 1001.205
(2020-12-01 23:55:17,249) [START] Task-174_M1 Started Execution
(2020-12-01 23:55:17,463) [FINISH] TASK 170_M2 Finished execution. Total duration - 2002.311
(2020-12-01 23:55:17,464) [START] Task-168_R0 Started Execution
(2020-12-01 23:55:17,599) [FINISH] TASK 173_M0 Finished execution. Total duration - 1001.234
(2020-12-01 23:55:17,599) [START] Task-168_R1 Started Execution
(2020-12-01 23:55:18,092) [FINISH] TASK 167_R1 Finished execution. Total duration - 2002.301
(2020-12-01 23:55:18,093) [START] Task-175_M2 Started Execution
(2020-12-01 23:55:18,251) [FINISH] TASK 174_M1 Finished execution. Total duration - 1001.359
(2020-12-01 23:55:18,251) [START] Task-175_M3 Started Execution
(2020-12-01 23:55:18,600) [FINISH] TASK 168_R1 Finished execution. Total duration - 1000.370
(2020-12-01 23:55:19,576) [START] Task-176_M0 Started Execution
(2020-12-01 23:55:20,468) [FINISH] TASK 168_R0 Finished execution. Total duration - 3003.608
(2020-12-01 23:55:20,469) [START] Task-174_R1 Started Execution
(2020-12-01 23:55:20,578) [FINISH] TASK 176_M0 Finished execution. Total duration - 1001.364
(2020-12-01 23:55:20,579) [START] Task-172_R1 Started Execution
(2020-12-01 23:55:21,012) [FINISH] TASK 173_M3 Finished execution. Total duration - 4003.198
(2020-12-01 23:55:21,023) [START] Task-173_R0 Started Execution
(2020-12-01 23:55:21,254) [FINISH] TASK 175_M3 Finished execution. Total duration - 3002.592
(2020-12-01 23:55:21,256) [START] Task-173_R1 Started Execution
(2020-12-01 23:55:22,097) [FINISH] TASK 175_M2 Finished execution. Total duration - 4003.862
(2020-12-01 23:55:22,256) [START] Task-178_M0 Started Execution
(2020-12-01 23:55:22,582) [FINISH] TASK 172_R1 Finished execution. Total duration - 2001.720
(2020-12-01 23:55:22,588) [START] Task-178_M2 Started Execution
(2020-12-01 23:55:23,257) [FINISH] TASK 178_M0 Finished execution. Total duration - 1001.200
(2020-12-01 23:55:23,259) [FINISH] TASK 173_R1 Finished execution. Total duration - 2002.195
(2020-12-01 23:55:24,118) [START] Task-177_R1 Started Execution
(2020-12-01 23:55:24,473) [FINISH] TASK 174_R1 Finished execution. Total duration - 4003.445
(2020-12-01 23:55:24,502) [START] Task-180_M0 Started Execution
(2020-12-01 23:55:24,505) [START] Task-180_M3 Started Execution
(2020-12-01 23:55:25,027) [FINISH] TASK 173_R0 Finished execution. Total duration - 4004.035
(2020-12-01 23:55:25,591) [FINISH] TASK 178_M2 Finished execution. Total duration - 3003.254
(2020-12-01 23:55:26,478) [START] Task-181_M2 Started Execution
(2020-12-01 23:55:26,850) [START] Task-178_R0 Started Execution
(2020-12-01 23:55:27,122) [FINISH] TASK 177_R1 Finished execution. Total duration - 3002.821
(2020-12-01 23:55:27,507) [FINISH] TASK 180_M0 Finished execution. Total duration - 3003.303
(2020-12-01 23:55:28,508) [FINISH] TASK 180_M3 Finished execution. Total duration - 4003.110
(2020-12-01 23:55:28,561) [START] Task-180_R0 Started Execution
(2020-12-01 23:55:29,052) [START] Task-183_M1 Started Execution
(2020-12-01 23:55:29,138) [START] Task-182_R0 Started Execution
(2020-12-01 23:55:29,562) [FINISH] TASK 180_R0 Finished execution. Total duration - 1001.214
(2020-12-01 23:55:29,852) [FINISH] TASK 178_R0 Finished execution. Total duration - 3001.961
(2020-12-01 23:55:30,139) [FINISH] TASK 182_R0 Finished execution. Total duration - 1001.211
(2020-12-01 23:55:30,482) [FINISH] TASK 181_M2 Finished execution. Total duration - 4002.763
(2020-12-01 23:55:30,522) [START] Task-181_R1 Started Execution
(2020-12-01 23:55:30,851) [START] Task-185_M1 Started Execution
(2020-12-01 23:55:30,852) [START] Task-185_M3 Started Execution
(2020-12-01 23:55:30,942) [START] Task-186_M1 Started Execution
(2020-12-01 23:55:33,056) [FINISH] TASK 183_M1 Finished execution. Total duration - 4003.617
(2020-12-01 23:55:33,093) [START] Task-183_R0 Started Execution
(2020-12-01 23:55:34,526) [FINISH] TASK 181_R1 Finished execution. Total duration - 4003.153
(2020-12-01 23:55:34,854) [FINISH] TASK 185_M3 Finished execution. Total duration - 4002.334
(2020-12-01 23:55:34,854) [FINISH] TASK 185_M1 Finished execution. Total duration - 4003.268
(2020-12-01 23:55:34,891) [START] Task-185_R0 Started Execution
(2020-12-01 23:55:34,946) [FINISH] TASK 186_M1 Finished execution. Total duration - 4004.105
(2020-12-01 23:55:34,957) [START] Task-186_R0 Started Execution
(2020-12-01 23:55:36,893) [FINISH] TASK 185_R0 Finished execution. Total duration - 2002.107
